time	V(in)	V(vt1)	V(vt2)	I(D2)
0.000000000000000e+000	5.000000e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.906250045648818e-010	5.000001e+000	5.299374e+000	4.800185e+000	1.774151e-015
7.812500091297636e-010	5.000003e+000	5.299374e+000	4.800185e+000	1.774151e-015
3.014955357818457e-006	5.012574e+000	5.299374e+000	4.800185e+000	1.774151e-015
6.029129465627785e-006	5.021626e+000	5.299374e+000	4.800185e+000	1.774151e-015
9.043303573437111e-006	5.027161e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.205747768124644e-005	5.029178e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.507165178905577e-005	5.027677e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.808582589686509e-005	5.022658e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.110000000467441e-005	5.014121e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.428714286181729e-005	4.999529e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.747428571896017e-005	4.988076e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.066142857610305e-005	4.979763e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.384857143324593e-005	4.974588e+000	5.299374e+000	4.800185e+000	1.774150e-015
3.703571429038881e-005	4.972553e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.022285714753169e-005	4.973657e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.341000000467456e-005	4.977900e+000	5.299374e+000	4.800185e+000	1.774150e-015
4.679428571896032e-005	4.992680e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.017857143324607e-005	5.004783e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.356285714753183e-005	5.014207e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.694714286181759e-005	5.020954e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.033142857610335e-005	5.025022e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.371571429038911e-005	5.026413e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.710000000467485e-005	5.025126e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.061571429038918e-005	5.010538e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.413142857610352e-005	4.998382e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.764714286181785e-005	4.988660e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.116285714753217e-005	4.981371e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.467857143324651e-005	4.976514e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.819428571896084e-005	4.974091e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.171000000467516e-005	4.974101e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.529142857610378e-005	4.988741e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.887285714753239e-005	5.000962e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.024542857189610e-004	5.010762e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.060357142903896e-004	5.018143e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.096171428618183e-004	5.023103e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.131985714332469e-004	5.025644e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.167800000046755e-004	5.025764e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.203285714332468e-004	5.011269e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.238771428618181e-004	4.999136e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.274257142903894e-004	4.989368e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.309742857189607e-004	4.981963e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.345228571475320e-004	4.976922e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.380714285761033e-004	4.974245e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.416200000046746e-004	4.973932e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.452014285761030e-004	4.988481e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.487828571475315e-004	5.000657e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.523642857189599e-004	5.010460e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.559457142903883e-004	5.017889e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.595271428618167e-004	5.022945e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.631085714332451e-004	5.025627e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.666900000046735e-004	5.025937e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.702714285761019e-004	5.011317e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.738528571475303e-004	4.999106e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.774342857189587e-004	4.989305e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.810157142903871e-004	4.981914e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.845971428618155e-004	4.976932e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.881785714332439e-004	4.974360e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.917600000046723e-004	4.974197e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.953085714332436e-004	4.988673e+000	5.299374e+000	4.800185e+000	1.774150e-015
1.988571428618148e-004	5.000796e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.024057142903861e-004	5.010565e+000	5.299374e+000	4.800185e+000	1.774150e-015
2.059542857189574e-004	5.017980e+000	5.299374e+000	4.800185e+000	1.774150e-015
